path,game_id,game_name,year_month,listing_type,listing_type_label,rows,bytes,price_candidate_rows,strict_price_rows,min_posted_at,max_posted_at
partitions/tcggame/2026-08/sell.csv,tcggame,유희왕,2026-08,sell,판매,33886,21025602,15403,9,2026-08-01T00:00:43+09:00,2026-08-13T17:02:58+09:00
partitions/tcggame/2026-08/trade.csv,tcggame,유희왕,2026-08,trade,교환,30,21282,2,0,2026-08-11T13:41:36+09:00,2026-08-11T20:52:07+09:00
partitions/tcggame/2026-08/unknown.csv,tcggame,유희왕,2026-08,unknown,미분류,5763,3540293,3273,0,2026-08-01T20:21:25+09:00,2026-08-13T16:40:48+09:00
partitions/vg/2026-06/buy.csv,vg,뱅가드,2026-06,buy,구매,406,231545,274,0,2026-06-10T00:15:49+09:00,2026-06-30T22:45:01+09:00
partitions/vg/2026-06/sell.csv,vg,뱅가드,2026-06,sell,판매,2593,1574735,1173,0,2026-06-10T07:58:39+09:00,2026-06-30T22:20:16+09:00
partitions/vg/2026-06/trade.csv,vg,뱅가드,2026-06,trade,교환,38,24280,22,0,2026-06-21T16:35:22+09:00,2026-06-21T16:35:22+09:00
partitions/vg/2026-06/unknown.csv,vg,뱅가드,2026-06,unknown,미분류,2416,1488792,1245,0,2026-06-10T00:08:51+09:00,2026-06-30T23:58:59+09:00
partitions/vg/2026-07/buy.csv,vg,뱅가드,2026-07,buy,구매,627,371766,258,0,2026-07-01T01:10:31+09:00,2026-07-31T08:20:21+09:00
partitions/vg/2026-07/sell.csv,vg,뱅가드,2026-07,sell,판매,7222,4414777,2943,10,2026-07-01T00:07:26+09:00,2026-07-31T23:12:43+09:00
partitions/vg/2026-07/unknown.csv,vg,뱅가드,2026-07,unknown,미분류,4237,2626036,1955,0,2026-07-01T02:58:07+09:00,2026-07-31T22:05:01+09:00
partitions/vg/2026-08/buy.csv,vg,뱅가드,2026-08,buy,구매,660,376473,331,0,2026-08-01T01:57:12+09:00,2026-08-13T16:54:53+09:00
partitions/vg/2026-08/sell.csv,vg,뱅가드,2026-08,sell,판매,8072,4877820,4212,6,2026-08-01T00:32:17+09:00,2026-08-13T17:09:29+09:00
partitions/vg/2026-08/unknown.csv,vg,뱅가드,2026-08,unknown,미분류,3043,1882834,1443,0,2026-08-01T02:08:27+09:00,2026-08-13T13:12:46+09:00
